# NOAA-derived station slugs -- input for check_beach_coverage.py

Alameda                                  | alameda                                       | CA   | USA                  | 9414750 | noaa-auto
Alameda                                  | alameda-ca                                    | CA   | USA                  | 9414750 | noaa-auto
Arena Cove                               | arena                                         | CA   | USA                  | 9416841 | noaa-auto
Arena Cove                               | arena-cove                                    | CA   | USA                  | 9416841 | noaa-auto
Arena Cove                               | arena-cove-ca                                 | CA   | USA                  | 9416841 | noaa-auto
Crescent City                            | crescent-city                                 | CA   | USA                  | 9419750 | noaa-auto
Crescent City                            | crescent-city-ca                              | CA   | USA                  | 9419750 | noaa-auto
La Jolla                                 | la-jolla                                      | CA   | USA                  | 9410230 | noaa-auto
La Jolla                                 | la-jolla-ca                                   | CA   | USA                  | 9410230 | noaa-auto
Martinez-Amorco Pier                     | martinez-amorco                               | CA   | USA                  | 9415102 | noaa-auto
Martinez-Amorco Pier                     | martinez-amorco-pier                          | CA   | USA                  | 9415102 | noaa-auto
Martinez-Amorco Pier                     | martinez-amorco-pier-ca                       | CA   | USA                  | 9415102 | noaa-auto
Monterey                                 | monterey                                      | CA   | USA                  | 9413450 | noaa-auto
Monterey                                 | monterey-ca                                   | CA   | USA                  | 9413450 | noaa-auto
North Spit                               | north-spit                                    | CA   | USA                  | 9418767 | noaa-auto
North Spit                               | north-spit-ca                                 | CA   | USA                  | 9418767 | noaa-auto
Point Reyes                              | point-reyes                                   | CA   | USA                  | 9415020 | noaa-auto
Point Reyes                              | point-reyes-ca                                | CA   | USA                  | 9415020 | noaa-auto
Port Chicago                             | port-chicago                                  | CA   | USA                  | 9415144 | noaa-auto
Port Chicago                             | port-chicago-ca                               | CA   | USA                  | 9415144 | noaa-auto
Port San Luis                            | port-san-luis                                 | CA   | USA                  | 9412110 | noaa-auto
Port San Luis                            | port-san-luis-ca                              | CA   | USA                  | 9412110 | noaa-auto
Redwood City                             | redwood-city                                  | CA   | USA                  | 9414523 | noaa-auto
Redwood City                             | redwood-city-ca                               | CA   | USA                  | 9414523 | noaa-auto
Richmond                                 | richmond                                      | CA   | USA                  | 9414863 | noaa-auto
Richmond                                 | richmond-ca                                   | CA   | USA                  | 9414863 | noaa-auto
San Diego                                | san-diego                                     | CA   | USA                  | 9410170 | noaa-auto
San Diego                                | san-diego-ca                                  | CA   | USA                  | 9410170 | noaa-auto
San Francisco                            | san-francisco                                 | CA   | USA                  | 9414290 | noaa-auto
San Francisco                            | san-francisco-ca                              | CA   | USA                  | 9414290 | noaa-auto
Santa Monica                             | santa-monica                                  | CA   | USA                  | 9410840 | noaa-auto
Santa Monica                             | santa-monica-ca                               | CA   | USA                  | 9410840 | noaa-auto
Bridgeport                               | bridgeport                                    | CT   | USA                  | 8467150 | noaa-auto
Bridgeport                               | bridgeport-ct                                 | CT   | USA                  | 8467150 | noaa-auto
New Haven                                | new-haven                                     | CT   | USA                  | 8465705 | noaa-auto
New Haven                                | new-haven-ct                                  | CT   | USA                  | 8465705 | noaa-auto
New London                               | new-london                                    | CT   | USA                  | 8461490 | noaa-auto
